"","Farm","FLOCKCODE","DISTRICT","SEX","AGE","WORKERNO.x","experience","EDLEVEL","CHICKENTOTAL","Week_raising","feed_plus_ofeed","feedpricec_kg","X.week_with_medical_feed","per_week_anti","num_anti_used","DOC.FLOCK","numbersellsum","type.vaccine.use","mortality.y","morta_end","Otherflock_class","Other_animal_class","ave_body_weight","Revenue.flock","ROI.flock","GPM.flock","Ocost.COST.FLOCK","average_ADDkg_per.1000.chicken_week","num_week_anti"
"65","75-030","75-0302","Thap Muoi","M",38,2,"1","SecondarySchool",204,21,1,"10990.47619","0.333333333","0.1",2,2000000,"185",6,"0.09","0.005376344",1,1,"1.6",20555000,"1.198125364","0.545066894","48000","312.3276601",2
"66","75-030","75-0303","Thap Muoi","M",38,2,"1","SecondarySchool",255,22,1,"11261.53846","0.227272727","0.43",8,3000000,"141",6,"0.44","0.398305085",1,1,"1.5",16889000,"0.311542882","0.237539227","NA","156.2676833",10
"67","75-031","75-0311","Thap Muoi","F",58,1,"5","HighSchool",400,15,0,"11493.33333","1","0.13",1,4400000,"80",4,"0.76","0.689655172",1,1,"1.7",8970000,"-0.286623191","-0.401783724","2420000","123.6783565",2
"68","75-031","75-0312","Thap Muoi","F",58,2,"5","HighSchool",300,18,0,"14816.66667","0.722222222","0.17",3,2400000,"135",4,"0.5","0.496644295",0,1,"1.7",15307000,"0.147451274","0.128503299","115000","542.1976875",3
"69","75-031","75-0313","Thap Muoi","F",58,1,"5","HighSchool",200,18,1,"11357.89474","1.055555556","0",0,2200000,"150",3,"0.05","0",1,1,"1.6",16653000,"0.964492155","0.490962589","120000","0",0
"70","75-032","75-0321","Thap Muoi","M",35,1,"3","HighSchool",550,17,1,"10800","0.294117647","0.12",1,5500000,"21",2,"0.97","0.942408377",1,1,"1.2",2000000,"-0.835146719","-5.066","440000","541.7771048",2
"71","75-033","75-0331","Thap Muoi","F",48,2,"2","SecondarySchool",102,15,1,"11500","0.4","0.13",2,1100000,"80",3,"0.22","0.069767442",1,1,"1.5",8630000,"0.573381951","0.364426419","NA","986.2113088",2
"72","75-033","75-0332","Thap Muoi","F",48,2,"2","SecondarySchool",110,17,1,"13164","0.941176471","0.12",2,1100000,"90",5,"0.15","0.103773585",1,1,"1.3",7584000,"0.128067827","0.113528481","255000","706.006308",2
"73","75-033","75-0333","Thap Muoi","F",48,2,"2","SecondarySchool",150,16,1,"14113.04348","0.75","0",0,1650000,"90",4,"0.4","0",1,1,"2",12020000,"0.630936228","0.386855241","NA","0",0
"74","75-034","75-0341","Thap Muoi","M",34,1,"1","HighSchool",500,20,0,"11280","1","0.23",4,6000000,"420",4,"0.16","0",1,1,"1.5",47250000,"1.710397083","0.63105037","4211000","499.9954466",5
"75","75-035","75-0351","Thap Muoi","M",27,1,"1","SecondarySchool",300,25,1,"11488","0.92","0.19",2,3600000,"95",3,"0.62","0.600694444",0,1,"1.4",8860000,"-0.254020376","-0.340519187","370000","927.737914",5
"76","75-036","75-0361","Thap Muoi","M",41,2,"3","SecondarySchool",300,19,1,"12000","1","0.16",2,3600000,"275",3,"0.07","0.031690141",1,1,"1.6",29540000,"1.323605758","0.569634394","2570000","1172.514002",3
"77","75-038","75-0381","Thap Muoi","M",67,2,"7","SecondarySchool",408,19,1,"11400","0.578947368","0.21",4,5200000,"373",3,"0.09","0.0675",0,1,"1.8",44785000,"3.141582281","0.758546388","770000","250.1010953",4
"78","75-039","75-0391","Thap Muoi","M",41,1,"2","HighSchool",300,19,0,"11433.33333","0.947368421","0.32",5,3600000,"180",5,"0.4","0.274193548",1,1,"1.5",17700000,"0.696621136","0.41059322","104000","288.9278076",6
"79","75-039","75-0392","Thap Muoi","M",41,2,"2","HighSchool",300,21,0,"11437.5","0.761904762","0.33",7,3000000,"95",5,"0.68","0.62745098",1,0,"1.6",10148000,"0.103943432","0.094156484","96000","271.2119748",7
"80","75-039","75-0393","Thap Muoi","M",41,1,"2","HighSchool",300,19,0,"11431.57895","1","0.26",5,3300000,"263",4,"0.12","0.029520295",0,0,"1.7",31030000,"2.060459611","0.673251692","72000","290.1975068",5
"81","75-040","75-0401","Thap Muoi","M",64,2,"5","SecondarySchool",200,16,1,"11400","0.9375","0.19",3,2600000,"169",3,"0.16","0.066298343",1,1,"1.3",14330000,"0.801881098","0.445024424","530000","421.8594076",3
