"","Farm","FLOCKCODE","DISTRICT","SEX","AGE","WORKERNO.x","experience","EDLEVEL","CHICKENTOTAL","Week_raising","feed_plus_ofeed","feedpricec_kg","X.week_with_medical_feed","per_week_anti","num_anti_used","DOC.FLOCK","numbersellsum","type.vaccine.use","mortality.y","morta_end","Otherflock_class","Other_animal_class","ave_body_weight","Revenue.flock","ROI.flock","GPM.flock","Ocost.COST.FLOCK","average_ADDkg_per.1000.chicken_week","num_week_anti"
"113","75-057","75-0571","Thap Muoi","M",55,2,"2","SecondarySchool",400,20,1,"9969.52381","0.15","0.84",17,5600000,"180",4,"0.3","0.21875",1,1,"1.6",22400000,"0.598629746","0.374464286","NA","640.3068502",20
"114","75-058","75-0581","Thap Muoi","M",61,2,"2","SecondarySchool",204,19,0,"9852.631579","0.105263158","0",0,2400000,"190",3,"0.07","0",1,1,"1.5",23520000,"1.969322055","0.663222789","NA","0",0
"115","75-062","75-0621","Cao Lanh","M",56,2,"1","PrimarySchool",714,23,1,"10681.81818","0","0.3",6,8050000,"590",4,"0.16","0.042925278",1,1,"1.4",61555000,"2.670761524","0.727576964","280000","106.5525004",7
"116","75-062","75-0622","Cao Lanh","M",56,2,"1","PrimarySchool",605,23,1,"10113.04348","0.260869565","0.21",5,4200000,"579",4,"0.04","0.006861063",0,1,"1.6",59980000,"3.64817111","0.784861621","644000","123.3098779",5
"117","75-062","75-0623","Cao Lanh","M",56,2,"1","PrimarySchool",410,20,1,"9800","0","0.25",4,3600000,"321",3,"0.21","0.19047619",0,1,"1.8",47672000,"3.043598117","0.752695503","1320000","91.61921257",5
"118","75-062","75-0624","Cao Lanh","M",56,2,"1","PrimarySchool",500,21,1,"9952.380952","0.047619048","0.67",13,4750000,"325",3,"0.34","0.090659341",1,1,"1.3",34268000,"1.239026366","0.5533773","1473666.667","192.2055332",20
"119","75-063","75-0631","Cao Lanh","M",52,2,"1","PrimarySchool",480,22,1,"10452.17391","0.272727273","0.79",14,5175000,"459",4,"0.03","0.002150538",1,1,"1.8",49934000,"2.27933521","0.695060146","367666.6667","637.0257745",22
"120","75-064","75-0641","Cao Lanh","M",38,2,"2","SecondarySchool",479,19,1,"10400","0.315789474","0.41",6,5175000,"447",3,"0.07","0",1,1,"1.5",46370000,"2.629887667","0.724509381","102000","402.9004465",9
"121","75-064","75-0642","Cao Lanh","M",38,2,"2","SecondarySchool",350,19,1,"10442.10526","0.210526316","0.64",10,2800000,"237",4,"0.32","0.277439024",0,1,"1.7",25083500,"1.154477131","0.53585026","689000","672.5212714",14
"122","75-065","75-0651","Cao Lanh","M",42,2,"3","HighSchool",306,17,1,"10400","0.176470588","0.06",1,3450000,"62",3,"0.8","0.677083333",0,1,"1.5",6510000,"-0.306982339","-0.44296467","180000","23.56803978",1
"123","75-066","75-0661","Cao Lanh","M",38,1,"2","SecondarySchool",202,19,1,"10463.15789","0.157894737","0.05",1,2300000,"1",3,"0.81","0",1,1,"1.6",150000,"-0.982700957","-56.80666667","190000","330.8601537",1
"124","75-067","75-0671","Cao Lanh","M",38,2,"3","SecondarySchool",360,21,0,"11109.09091","0.238095238","0.39",5,4025000,"300",2,"0.17","0.07120743",1,1,"1.6",30498000,"1.227296518","0.551025204","354333.3333","277.6259562",9
"125","75-068","75-0681","Cao Lanh","M",38,2,"3","PrimarySchool",200,18,1,"10325","0.166666667","0.72",17,1600000,"131",1,"0.33","0.278074866",0,1,"1.4",10240000,"0.288050314","0.223632813","78000","538.5319586",18
"126","75-069","75-0691","Cao Lanh","M",57,3,"1","HighSchool",510,21,1,"13686.48649","1","0.42",6,4500000,"14",4,"0.96","0.960580913",1,1,"1.4",1176000,"-0.945610943","-17.38605159","658666.6667","123.0526978",10
"127","75-070","75-0701","Cao Lanh","M",39,2,"1","PrimarySchool",510,29,1,"10251.72414","0.206896552","0.67",9,4500000,"485",4,"0.06","0",1,1,"1.5",52720000,"2.012786628","0.668081373","NA","231.9754172",16
"128","75-070","75-0702","Cao Lanh","M",39,2,"1","PrimarySchool",508,19,1,"9657.894737","0.473684211","0.35",4,3500000,"460",3,"0.09","0",1,1,"1.6",39789000,"2.572044169","0.720048255","545000","141.1495924",7
"129","75-070","75-0703","Cao Lanh","M",39,2,"1","PrimarySchool",600,17,1,"9588.235294","0.352941176","0.26",5,5050000,"330",3,"0.45","0",1,1,"1.3",34020000,"1.635064482","0.620502646","567000","52.32943237",5
"130","75-070","75-0704","Cao Lanh","M",39,2,"1","PrimarySchool",313,16,1,"9525","0.3125","0.33",6,4200000,"295",3,"0.06","0.003378378",1,1,"1.4",33200000,"2.053154313","0.67246988","NA","334.9979966",6
"131","75-070","75-0705","Cao Lanh","M",39,2,"1","PrimarySchool",714,18,1,"10505.88235","0.166666667","0.63",14,7000000,"544",4,"0.24","0.159196291",1,1,"1.8",55434000,"2.594941634","0.721831367","825000","182.8385148",15
"132","75-071","75-0711","Cao Lanh","M",47,2,"3","SecondarySchool",204,18,1,"10588.88889","0.166666667","0.3",5,1600000,"194",4,"0.05","0.034825871",1,0,"1.8",23050000,"1.859535403","0.650292842","133000","425.1314027",6
"133","75-072","75-0721","Cao Lanh","M",56,2,"4","SecondarySchool",252,18,0,"10777.77778","1","0.33",5,2250000,"226",3,"0.1","0.054393305",1,1,"1.3",22932000,"1.750167898","0.636385836","159500","115.922889",7
"134","75-072","75-0722","Cao Lanh","M",56,2,"4","SecondarySchool",255,16,1,"10400","0.5","0.81",7,2500000,"241",1,"0.05","0.016326531",0,1,"1.4",26200000,"1.944787703","0.660416947","NA","0",16
"135","75-072","75-0723","Cao Lanh","M",56,2,"4","SecondarySchool",620,16,0,"11075","0.125","0.93",11,7800000,"450",1,"0.26","0.072727273",0,1,"1.3",44250000,"1.93143425","0.658870056","372000","616.313774",16
"136","75-073","75-0731","Cao Lanh","F",40,2,"3","SecondarySchool",309,18,1,"10473.68421","0.388888889","0.28",4,2250000,"236",4,"0.11","0.045138889",1,1,"1.4",21500000,"1.399196548","0.583193798","330333.3333","178.915263",5
"137","75-073","75-0732","Cao Lanh","F",40,2,"3","SecondarySchool",313,19,1,"10473.68421","0.368421053","0.57",7,3113000,"50",4,"0.84","0.814814815",1,0,"1.2",2000000,"-0.828193454","-4.8205","1091000","417.9026151",12
"138","75-074","75-0741","Cao Lanh","M",28,2,"2","SecondarySchool",408,14,1,"10446.15385","0.214285714","0.4",5,3600000,"125",1,"0.63","0.591280654",0,1,"1.7",9000000,"0.157407407","0.136","NA","199.7707814",6
"139","75-074","75-0742","Cao Lanh","M",28,2,"2","SecondarySchool",204,17,1,"10447.05882","0.176470588","0.22",4,1400000,"161",1,"0.11","0.010752688",0,1,"1.4",14710000,"1.084337008","0.520231135","700000","369.3119468",4
"140","75-074","75-0743","Cao Lanh","M",28,2,"2","SecondarySchool",305,13,1,"10430.76923","0.769230769","0.29",4,4200000,"253",1,"0.03","0.006802721",0,1,"1.4",29520000,"2.439196589","0.709234417","470000","434.7828916",4
"141","75-075","75-0751","Cao Lanh","M",41,2,"2","SecondarySchool",202,10,1,"10400","0.8","0.1",1,1900000,"NA",3,"1","1",0,0,"",1,"-0.99999981","-5250265.667","56666.66667","628.634292",1
"142","75-076","75-0761","Cao Lanh","M",41,2,"2","SecondarySchool",104,17,1,"10450","0.235294118","0.64",10,850000,"101",2,"0.03","0",1,1,"1.5",10870000,"0.844623948","0.457884085","92800","615.0916094",16
"143","75-076","75-0762","Cao Lanh","M",41,2,"2","SecondarySchool",102,15,1,"10462.5","0.266666667","0.44",3,1150000,"93",2,"0.03","0.01980198",0,1,"1.5",12548000,"0.942114224","0.485097227","756000","536.4057212",8
"144","75-077","75-0771","Cao Lanh","M",63,2,"1","PrimarySchool",306,18,0,"10447.05882","0.222222222","0.63",3,2550000,"292",2,"0.05","0",0,1,"1.6",28000000,"2.418803419","0.7075","NA","237.6625164",12
"145","75-077","75-0772","Cao Lanh","M",63,2,"1","PrimarySchool",356,15,1,"10266.66667","0.333333333","0.78",6,3150000,"286",3,"0.16","0.143678161",1,1,"1.6",32060000,"2.660653117","0.726824704","303000","452.2741518",14
"146","75-078","75-0781","Cao Lanh","M",38,1,"1","SecondarySchool",102,17,0,"10444.44444","0.235294118","0.18",2,850000,"88",2,"0.12","0",0,1,"1.5",8730000,"0.459337475","0.314757541","17166.66667","812.6049628",3
"147","75-079","75-0791","Cao Lanh","M",49,1,"2","SecondarySchool",612,17,0,"10435.29412","0.176470588","0.71",10,5100000,"550",1,"0.1","0.017857143",1,0,"1.3",42900000,"2.478002378","0.712478632","161666.6667","546.4164565",17
"148","75-079","75-0792","Cao Lanh","M",49,2,"2","SecondarySchool",602,17,1,"10435.29412","0.176470588","0.57",8,4200000,"250",1,"0.58","0.519230769",0,1,"1.5",20000000,"0.949697797","0.4871","NA","202.4788151",13
"149","75-079","75-0793","Cao Lanh","M",49,2,"2","SecondarySchool",612,15,0,"10440","0.533333333","0.31",4,6000000,"597",3,"0.02","0.005",0,1,"1.3",56225000,"3.541599354","0.77981325","348000","158.7252029",5
"150","75-079","75-0794","Cao Lanh","M",49,2,"2","SecondarySchool",508,16,0,"10537.5","0.1875","0.39",6,4500000,"231",3,"0.33","0.076923077",1,1,"1.3",23200000,"1.306392286","0.566422414","309000","714.8097671",7
"151","75-080","75-0801","Cao Lanh","M",49,2,"2","SecondarySchool",1530,24,1,"10208.33333","0.333333333","0.84",16,12000000,"1283",4,"0.15","0.077479339",0,0,"1.7",104995000,"2.563783447","0.719399336","1432666.667","483.355045",24
"152","75-080","75-0802","Cao Lanh","M",49,2,"2","SecondarySchool",550,21,1,"10061.90476","0.761904762","0.69",3,3250000,"417",3,"0.24","0.166",1,1,"2.2",66892000,"4.181714803","0.807013694","2004000","305.1315189",20
"153","75-080","75-0803","Cao Lanh","M",49,2,"2","SecondarySchool",680,19,1,"9238.157895","0.210526316","0.3",3,5850000,"602",4,"0.11","0.096774194",1,1,"1.9",102400000,"4.812567406","0.827958984","1687000","258.5679421",6
"154","75-081","75-0811","Cao Lanh","M",65,2,"2","SecondarySchool",606,17,1,"10705.88235","0.294117647","0.29",3,5700000,"560",4,"0.13","0.010600707",1,1,"1.4",57640000,"3.72284813","0.788263359","NA","103.49743",5
"155","75-081","75-0812","Cao Lanh","M",65,2,"2","SecondarySchool",505,18,1,"10522.22222","0.055555556","0.46",6,3030000,"430",3,"0.09","0.031578947",1,1,"1.4",39130000,"2.861068627","0.741004344","564500","1103.850407",11
"156","75-082","75-0821","Cao Lanh","M",55,2,"3","PostHighSchool",303,19,1,"14032.43243","0.210526316","0.29",4,2700000,"255",3,"0.09","0.034843206",1,1,"1.6",21255000,"0.157805861","0.136297342","218000","283.0818356",6
"157","75-083","75-0831","Cao Lanh","M",24,2,"2","HighSchool",303,24,1,"13156.75676","0.208333333","0.17",3,2700000,"210",4,"0.25","0",1,1,"1.3",17740000,"0.024841132","0.024239008","NA","123.1370713",4
"158","75-085","75-0851","Cao Lanh","M",46,4,"3","HighSchool",612,9,1,"11000","0.444444444","0.54",7,5100000,"NA",3,"1","1",1,1,"",1,"-0.999999895","-9559499","NA","795.7886512",7
"159","75-086","75-0861","Cao Lanh","M",50,2,"3","SecondarySchool",510,21,1,"10600","1","0.26",6,4000000,"416",5,"0.18","0.014218009",1,1,"1.5",41043000,"1.999196181","0.666577329","573666.6667","303.5775548",6
"160","75-086","75-0862","Cao Lanh","M",50,2,"3","SecondarySchool",510,18,1,"10600","1","0.37",6,3500000,"296",4,"0.43","0.249357326",1,1,"1.5",30980000,"1.658771026","0.623886378","646000","314.2423507",7
"161","75-086","75-0863","Cao Lanh","M",50,2,"3","SecondarySchool",510,18,1,"10400","1","0.37",6,4500000,"478",4,"0.03","0.01",0,1,"1.5",65977000,"4.592693058","0.821195265","304000","246.7553424",7
"162","75-087","75-0871","Cao Lanh","M",58,2,"2","PrimarySchool",306,19,1,"10600","0.421052632","0.05",1,2400000,"276",3,"0.03","0",1,1,"1.4",29240000,"1.566375565","0.610345417","1899000","43.68219023",1
"163","75-087","75-0872","Cao Lanh","M",58,3,"2","PrimarySchool",408,20,1,"10600","0.4","0.48",7,2800000,"258",3,"0.35","0.273972603",1,1,"1.6",28227500,"1.240989203","0.553768488","2266000","317.5301822",11
"164","75-087","75-0873","Cao Lanh","M",58,2,"2","PrimarySchool",510,19,0,"10100","0","0.6",9,5500000,"401",6,"0.18","0.105150215",0,1,"1.55",43550000,"1.03957382","0.509701493","2912000","246.9672079",15
"165","75-088","75-0881","Cao Lanh","M",37,2,"2","SecondarySchool",304,18,1,"10866.66667","0.388888889","0.61",11,2400000,"229",6,"0.25","0.004347826",0,1,"1.5",25950000,"1.446728267","0.591290944","433000","629.998011",14
"166","75-088","75-0882","Cao Lanh","M",37,2,"2","SecondarySchool",253,9,0,"10822.22222","1","0.5",5,1625000,"NA",4,"1","1",0,1,"",1,"-0.999999837","-6144999","458000","776.0333503",5
"167","75-089","75-0891","Cao Lanh","M",50,1,"2","HighSchool",303,8,0,"12975","1","0.25",1,3000000,"NA",1,"1","0",0,1,"",1,"-0.99999984","-6259999","32000","1633.660176",2
"168","75-090","75-0901","Cao Lanh","M",69,1,"10","PrimarySchool",500,21,1,"10400","1","0.77",8,4750000,"286",5,"0.4","0",1,1,"1.5",31405000,"1.36786549","0.577678714","NA","483.7508001",21
"169","75-090","75-0902","Cao Lanh","M",69,1,"10","PrimarySchool",400,19,1,"10400","0.210526316","0.61",6,4000000,"302",4,"0.18","0.006060606",0,1,"1.6",40436000,"2.396927006","0.705616283","758000","307.912994",14
"170","75-090","75-0903","Cao Lanh","M",69,1,"10","PrimarySchool",390,10,0,"10280","0.4","0.45",3,3900000,"NA",3,"1","1",1,1,"",1,"-0.99999987","-7672199","NA","156.7311684",5
"171","75-091","75-0911","Cao Lanh","M",44,2,"10","PrimarySchool",300,16,1,"10487.5","1","0.47",6,2850000,"185",3,"0.33","0",0,1,"1.6",22700000,"1.752182347","0.636651982","NA","166.6556613",9
"172","75-091","75-0912","Cao Lanh","M",44,2,"10","PrimarySchool",200,21,1,"10504.7619","1","0.43",5,1200000,"180",5,"0.1","0.052631579",1,1,"1.6",21000000,"1.674307545","0.626071429","205000","159.7452185",9
"173","75-091","75-0913","Cao Lanh","M",44,2,"10","PrimarySchool",200,18,0,"10400","1","0.44",7,2000000,"160",4,"0.15","0.039548023",0,1,"1.8",25920000,"2.44956082","0.710108025","NA","101.0791159",8
"174","75-092","75-0921","Cao Lanh","M",40,2,"4","PrimarySchool",204,7,0,"10828.57143","0.571428571","0.43",3,1600000,"NA",3,"1","0",1,1,"",1,"-0.999999787","-4691999","327000","315.4202218",3
"175","75-092","75-0922","Cao Lanh","M",40,2,"4","PrimarySchool",204,18,1,"10500","0.222222222","0.21",3,2300000,"200",4,"0.01","0.004926108",0,1,"1.4",24000000,"1.644865141","0.621908889","1331666.667","165.7769381",4
"176","75-093","75-0931","Cao Lanh","M",42,2,"3","SecondarySchool",202,16,1,"10450","0.25","0.19",2,1600000,"184",2,"0","0",0,1,"2",23920000,"2.537676551","0.717328595","62000","221.8617553",3
"177","75-093","75-0932","Cao Lanh","M",42,2,"3","SecondarySchool",102,16,1,"10425","0.125","0.13",1,800000,"51",2,"0.34","0",0,1,"1.9",7570000,"0.345873484","0.256988111","424000","151.295086",2
"178","75-094","75-0941","Cao Lanh","M",39,1,"1","SecondarySchool",306,18,1,"10466.66667","0.333333333","0.32",6,2400000,"272",3,"0.11","0.099337748",0,1,"1.8",27389000,"1.854805087","0.649713389","176000","228.6287655",6
"179","75-094","75-0942","Cao Lanh","M",39,1,"1","SecondarySchool",204,14,1,"10400","0.357142857","0.2",3,2300000,"155",4,"0.12","0",0,1,"1.4",17000000,"1.359472588","0.576176471","NA","282.0614399",3
"180","75-095","75-0951","Cao Lanh","M",30,1,"2","SecondarySchool",363,16,1,"11023.52941","1.0625","0",0,3850000,"18",2,"0.94","0.047619048",1,1,"1.4",2240000,"-0.755645249","-3.092410714","NA","0",0
"181","75-095","75-0952","Cao Lanh","M",30,1,"2","SecondarySchool",360,18,1,"10570","0.555555556","0.06",1,1750000,"269",2,"0.25","0.003703704",0,1,"1.6",22639000,"1.381924352","0.580171386","430000","97.98157944",1
"182","75-096","75-0961","Cao Lanh","M",30,1,"1","PostHighSchool",1000,22,1,"11545.45455","0.090909091","0.05",1,1150000,"131",4,"0.86","0.317073171",0,0,"1.5",11800000,"-0.102832161","-0.114618644","2130000","84.83253632",1
"183","75-096","75-0962","Cao Lanh","M",30,1,"1","PostHighSchool",1000,24,1,"9822.222222","0.083333333","0.13",2,13000000,"720",4,"0.28","0.191919192",0,0,"1.8",77064000,"1.663210824","0.624513391","5074000","183.1056148",3
"184","75-097","75-0971","Cao Lanh","M",57,1,"2","SecondarySchool",306,20,1,"10423.52941","0.3","0.36",7,2700000,"13",1,"0.95","0.926267281",0,1,"1",815000,"-0.910391802","-10.15969325","239000","376.9198946",8
"185","75-097","75-0972","Cao Lanh","M",57,1,"2","SecondarySchool",306,17,0,"10400","0.294117647","0.29",3,3450000,"210",3,"0.31","0.014084507",0,1,"1.5",23922500,"1.64016113","0.621235239","161000","108.6221143",5
"186","75-098","75-0981","Cao Lanh","M",45,2,"6","SecondarySchool",1020,19,1,"9786.666667","0","0.26",3,8000000,"761",2,"0.21","0.157894737",0,1,"1.7",77905000,"4.183282823","0.807072075","170000","488.9799652",5
"187","75-099","75-0991","Cao Lanh","M",25,2,"2","HighSchool",306,16,1,"10475","0.375","0.25",3,2400000,"270",3,"0.12","0",1,0,"1.4",23055000,"1.495670058","0.599306007","1055000","260.0027781",4
"188","75-100","75-1001","Cao Lanh","M",54,2,"1","PrimarySchool",220,18,1,"10833.33333","0.166666667","0.38",4,1940000,"205",3,"0.07","0",0,0,"1.3",21425000,"1.261770709","0.557868534","662666.6667","884.3950585",8
"189","75-100","75-1002","Cao Lanh","M",54,1,"1","PrimarySchool",204,17,1,"11082.35294","0.058823529","0.22",4,2200000,"177",2,"0.04","0.025",0,0,"1.4",25832000,"2.13096176","0.680609322","NA","66.22295461",4
"190","75-101","75-1011","Cao Lanh","M",37,2,"2","HighSchool",310,10,0,"10700","1","0.69",6,2790000,"NA",2,"1","1",0,1,"",1,"-0.999999856","-6944999","NA","1044.899817",10
"191","75-102","75-1021","Cao Lanh","M",37,2,"2","PrimarySchool",204,19,1,"10452.63158","1","0.43",8,2250000,"196",2,"0.04","0.015075377",0,1,"1.4",17550000,"1.137493834","0.532162393","NA","407.2636505",10
"192","75-102","75-1022","Cao Lanh","M",37,2,"2","PrimarySchool",205,17,1,"10433.33333","1.058823529","0.17",3,2600000,"178",3,"0.05","0",1,1,"1.6",22340000,"1.690204957","0.62828111","250000","508.3979649",3
"193","75-103","75-1031","Cao Lanh","M",64,2,"0","HighSchool",600,22,1,"10430.76923","0.272727273","0.39",5,4200000,"435",4,"0.23","0.07",1,1,"1.4",34100000,"1.604544587","0.616055718","1081000","165.5621417",9
"194","75-103","75-1032","Cao Lanh","M",64,1,"0","HighSchool",300,14,1,"10400","0.285714286","0.75",6,2550000,"NA",1,"1","1",1,1,"1.2",1,"-0.999999885","-8708665.667","1406666.667","240.5960616",12
"195","75-104","75-1041","Cao Lanh","M",36,2,"2","HighSchool",101,19,1,"10484.21053","0.894736842","0.88",7,600000,"86",5,"0.04","0.03",1,1,"1.6",8490000,"0.2998446","0.230677267","NA","190.4734052",19
"196","75-105","75-1051","Cao Lanh","M",47,1,"8","PrimarySchool",510,24,1,"10600","0.958333333","0.16",3,3500000,"295",3,"0.41","0.013157895",1,1,"1.5",28765000,"1.305534405","0.566261081","1217000","37.035703",4
"197","75-106","75-1061","Cao Lanh","M",65,2,"2","HighSchool",307,16,1,"9800","0","0.29",4,3300000,"288",2,"0.06","0",0,1,"1.5",32815000,"2.540868627","0.717583422","550000","218.8793485",5
"198","75-106","75-1062","Cao Lanh","M",65,1,"2","HighSchool",507,21,1,"9923.809524","0","0.46",10,4750000,"463",2,"0.04","0.002083333",0,1,"1.5",59198000,"2.849525296","0.74022771","1982000","128.4458671",12
"199","75-107","75-1071","Cao Lanh","M",54,2,"2","PrimarySchool",153,17,1,"10400","0.058823529","0.18",3,1725000,"118",2,"0.23","0.202702703",1,1,"1.4",12385000,"0.564552804","0.360839725","1231000","265.9879631",3
"200","75-108","75-1081","Cao Lanh","M",30,1,"2","HighSchool",204,17,1,"10200","0.176470588","0.47",5,2300000,"173",4,"0.03","0",0,1,"1.7",21050000,"1.4202357","0.586817102","1057000","379.5345108",9
"201","75-109","75-1091","Cao Lanh","M",27,1,"1","PrimarySchool",101,18,0,"10677.77778","1","0.06",1,1400000,"89",3,"0.05","0.020408163",0,1,"1.25",10020000,"0.47244673","0.320858283","325000","87.31031833",1
"202","75-109","75-1092","Cao Lanh","M",27,1,"1","PrimarySchool",102,18,0,"10688.88889","1","0",0,800000,"78",3,"0.14","0.011235955",1,1,"1.6",7815000,"0.185467968","0.156451269","658333.3333","0",0
"203","75-110","75-1101","Cao Lanh","M",49,3,"3","SecondarySchool",714,15,1,"11314.28571","0.066666667","0.2",2,5600000,"651",4,"0.02","0.00286123",0,1,"1.4",65120000,"3.575765028","0.78145731","1725000","139.647639",3
